n,p,k, Householder time, QL time, Total time
2304, 2, 0, 20.648476, 152.909788, 173.558266
2304, 2, 1, 20.594685, 151.841405, 172.436091
2304, 2, 2, 20.600500, 146.036306, 166.636808
2304, 2, 3, 20.541429, 152.577584, 173.119014
2304, 2, 4, 20.544761, 148.096028, 168.640791
2304, 2, 5, 20.525503, 148.805306, 169.330810
2304, 2, 6, 20.555017, 151.857810, 172.412829
2304, 2, 7, 20.565077, 145.495314, 166.060393
2304, 2, 8, 20.584480, 156.423989, 177.008470
2304, 2, 9, 20.613122, 152.416695, 173.029819
